Date,Campaign Name,Campaign ID,Ad Name,Ad ID,Custom Id,Title,Description,Cta,Url,Thumbnail Url,Video Url,Poster Image,Clicks,Served Ads,Impressions,Spent,Value,ROAS,ROAS (Clicks),ROAS (Views),CTR,CPM,Actual CPC,CPA,CPA (Clicks),CPA (Views),Conversions,Conversions (Clicks),Conversions (Views),Conversion Rate,Conversion Rate (Clicks),Conversion Rate (Views),Unnamed: 33
8/28/25,EarPros_UK_LEAD_APR24_mobile,36874267,UK_STATIC_Image 137_Title 15,4066592681,,${city:capitalized}$: Calling All People over 50! Claim Your New Hearing Aids Now,"Sleek, discreet, and affordable hearing aids are now available. Take a free trial today and experience the difference.",TRY_FREE,https://get.earpros.com/uk/adv/free-hearing-aid-trial/?mci=UKNAT1MEUZBJFW9,http://cdn.taboola.com/libtrc/static/thumbnails/b8f7cf62189d6c9743999aed0da53571.png,,,123,81020,15024,28.56,0,0,0,0,0.82,1.9,0.23,9.52,9.52,0,3,3,0,2.44,2.44,0,
8/28/25,EarPros_UK_LEAD_APR24_mobile,36874267,UK_STATIC_Image 159 1,4100119243,,${city:capitalized}$: Calling All People over 50. Claim Your New Hearing Aids Now,"Sleek, discreet, and affordable hearing aids are now available. Take a free trial today and experience the difference",TRY_FREE,https://get.earpros.com/uk/adv/free-hearing-aid-trial/?mci=UKNAT1MEUZBJFW9,http://cdn.taboola.com/libtrc/static/thumbnails/e144d1f2246a9df719351d5a545e968b.png,,,117,58990,10892,28.46,0,0,0,0,1.07,2.61,0.24,0,0,0,0,0,0,0,0,0,
8/28/25,EarPros_UK_LEAD_APR24_mobile,36874267,UK_CLIP_Image 118_Title 15,3976373554,,${city:capitalized}$: Calling All People over 50! Claim Your New Hearing Aids Now,"Sleek, discreet, and affordable hearing aids are now available. Take a free trial today and experience the difference.",TRY_FREE,https://get.earpros.com/uk/adv/free-hearing-aid-trial/?mci=UKNAT1MEUZBJFW9,http://cdn.taboola.com/libtrc/static/thumbnails/cdf7abe62ec44d244d367146dda14b84.jpg,https://cdn.taboola.com/libtrc/static/video/v1722590066/yz1yeanqtcereiug4fav.mp4,http://cdn.taboola.com/libtrc/static/thumbnails/27d08277800f5744a0eb88d6d00c6f2e.jpg,73,42217,7830,14.17,0,0,0,0,0.93,1.81,0.19,0,0,0,0,0,0,0,0,0,
8/28/25,EarPros_UK_LEAD_APR24_mobile,36874267,UK_CLIP_Image 139_Title 15,4066592695,,${city:capitalized}$: Calling All People over 50! Claim Your New Hearing Aids Now,"Sleek, discreet, and affordable hearing aids are now available. Take a free trial today and experience the difference.",TRY_FREE,https://get.earpros.com/uk/adv/free-hearing-aid-trial/?mci=UKNAT1MEUZBJFW9,http://cdn.taboola.com/libtrc/static/thumbnails/IMAGE_UPSCALER/EIU/5fda96c9-51a6-456b-a1c7-870b46e7ed7b__etyunmRa.jpg,https://cdn.taboola.com/libtrc/static/video/v1744363111/hijowsrwik2vrx7wrsgi.mp4!-#@710x400,http://cdn.taboola.com/libtrc/static/thumbnails/deb7c783be905e134bac7497455e3ac9.jpg,58,34985,7490,12.69,0,0,0,0,0.77,1.69,0.22,0,0,0,0,0,0,0,0,0,
8/28/25,EarPros_UK_LEAD_APR24_mobile,36874267,UK_CLIP_Image 174,4116151273,,${city:capitalized}$: Calling All People over 50! Claim Your New Hearing Aids Now,"Sleek, discreet, and affordable hearing aids are now available. Take a free trial today and experience the difference.",TRY_FREE,https://get.earpros.com/uk/adv/free-hearing-aid-trial/?mci=UKNAT1MEUZBJFW9%0A,https://cdn.taboola.com/libtrc/static/thumbnails/2c30b990a7802f913039b48f63dd1dd6.jpg,https://cdn.taboola.com/libtrc/static/video/v1747232492/vay8lvxi16laevceuccd.mp4!-#@800x480,https://cdn.taboola.com/libtrc/static/thumbnails/9cd1d1d2f715a64f7a7e5e55d1add380.jpg,54,26606,5111,12.23,0,0,0,0,1.06,2.39,0.23,0,0,0,0,0,0,0,0,0,
8/28/25,EarPros_UK_LEAD_MAR25_PREDICTIVE_mobile,44272980,UK_STATIC_Image 136_Title 15,4097690849,,${city:capitalized}$: Calling All People over 50! Claim Your New Hearing Aids Now,"Sleek, discreet, and affordable hearing aids are now available. Take a free trial today and experience the difference.",TRY_FREE,https://get.earpros.com/uk/adv/free-hearing-aid-trial/?mci=UKNAT1MEU2G5BNI,http://cdn.taboola.com/libtrc/static/thumbnails/1ac07d9e6a1ab0e064b9e044eb0c7c58.png,,,39,7587,1390,7.49,0,0,0,0,2.81,5.39,0.19,0,0,0,0,0,0,0,0,0,
8/28/25,EarPros_UK_LEAD_APR24_mobile,36874267,UK_CLIP_Image 191,4120857960,,${city:capitalized}$: Calling All People over 50. Claim Your New Hearing Aids Now,"Sleek, discreet, and affordable hearing aids are now available. Take a free trial today and experience the difference",LEARN_MORE,https://get.earpros.com/uk/adv/free-hearing-aid-trial/?mci=UKNAT1MEUZBJFW9,https://cdn.taboola.com/libtrc/static/thumbnails/f809ff94cdc88ee4caba47cec67cd542.jpg,https://cdn.taboola.com/libtrc/static/video/v1748526571/c2lwzb3v1casinbjllfz.mp4!-#@800x450,,31,12684,3163,6.11,0,0,0,0,0.98,1.93,0.2,0,0,0,0,0,0,0,0,0,
8/28/25,EarPros_UK_LEAD_APR24_mobile,36874267,UK_STATIC_Image 134_Title 15,4066592675,,${city:capitalized}$: Calling All People over 50! Claim Your New Hearing Aids Now,"Sleek, discreet, and affordable hearing aids are now available. Take a free trial today and experience the difference.",TRY_FREE,https://get.earpros.com/uk/adv/free-hearing-aid-trial/?mci=UKNAT1MEUZBJFW9,http://cdn.taboola.com/libtrc/static/thumbnails/6ce76bb9870f38b35fbe1134bc609222.png,,,26,8645,2839,5.48,0,0,0,0,0.92,1.93,0.21,0,0,0,0,0,0,0,0,0,
8/28/25,EarPros_UK_LEAD_APR24_mobile,36874267,UK_CLIP_Image 167,4116151272,,${city:capitalized}$: Calling All People over 50! Claim Your New Hearing Aids Now,"Sleek, discreet, and affordable hearing aids are now available. Take a free trial today and experience the difference.",TRY_FREE,https://get.earpros.com/uk/adv/free-hearing-aid-trial/?mci=UKNAT1MEUZBJFW9%0A,https://cdn.taboola.com/libtrc/static/thumbnails/5cdfd6caf40f0c720954d2c80611f7f5.jpg,https://cdn.taboola.com/libtrc/static/video/v1747232453/dttn6j0smwc420becuq8.mp4!-#@800x480,https://cdn.taboola.com/libtrc/static/thumbnails/a5e988fee500f2e6821ba7cd2f3147dc.jpg,14,6901,1516,3.64,0,0,0,0,0.92,2.4,0.26,0,0,0,0,0,0,0,0,0,
8/28/25,EarPros_UK_LEAD_APR24_mobile,36874267,,4116151280,,"If you are over 50, you might be eligible for these hearing aids ! (Find out More)","Sleek, discreet, and affordable hearing aids are now available. Take a free trial today and experience the difference.",TRY_FREE,https://get.earpros.com/uk/adv/free-hearing-aid-trial/?mci=UKNAT1MEUZBJFW9%0A,https://cdn.taboola.com/libtrc/static/thumbnails/2c30b990a7802f913039b48f63dd1dd6.jpg,https://cdn.taboola.com/libtrc/static/video/v1747232492/vay8lvxi16laevceuccd.mp4!-#@800x480,https://cdn.taboola.com/libtrc/static/thumbnails/9cd1d1d2f715a64f7a7e5e55d1add380.jpg,14,8162,1579,3.28,0,0,0,0,0.89,2.08,0.23,0,0,0,0,0,0,0,0,0,
8/28/25,EarPros_UK_LEAD_MAR25_PREDICTIVE_mobile,44272980,UK_STATIC_Image 192,4120857241,,${city:capitalized}$: Calling All People over 50. Claim Your New Hearing Aids Now,"Sleek, discreet, and affordable hearing aids are now available. Take a free trial today and experience the difference.",LEARN_MORE,https://get.earpros.com/uk/adv/free-hearing-aid-trial/?mci=UKNAT1MEU2G5BNI%0A,https://cdn.taboola.com/libtrc/static/thumbnails/3819e95dda8a3f472a292a06398df01e.png,,,10,1835,357,1.76,0,0,0,0,2.8,4.94,0.18,0,0,0,0,0,0,0,0,0,
8/28/25,EarPros_UK_LEAD_MAR25_PREDICTIVE_mobile,44272980,UK_STATIC_Image 162,4100121590,,Calling All People over 50. Claim Your New Hearing Aids Now,"Sleek, discreet, and affordable hearing aids are now available. Take a free trial today and experience the difference",TRY_FREE,https://get.earpros.com/uk/adv/free-hearing-aid-trial/?mci=UKNAT1MEU2G5BNI,http://cdn.taboola.com/libtrc/static/thumbnails/02433736b68a86f29736a29225d11c13.png,,,10,982,165,1.58,0,0,0,0,6.06,9.55,0.16,0,0,0,0,0,0,0,0,0,
8/28/25,EarPros_UK_LEAD_MAR25_PREDICTIVE_mobile,44272980,UK_STATIC_Image 162,4100123004,,Britons born before 1970 may try these innovative hearing aids for Free (Read more),"Sleek, discreet, and affordable hearing aids are now available. Take a free trial today and experience the difference.",TRY_FREE,https://get.earpros.com/uk/adv/free-hearing-aid-trial/?mci=UKNAT1MEU2G5BNI,http://cdn.taboola.com/libtrc/static/thumbnails/02433736b68a86f29736a29225d11c13.png,,,8,1535,297,1.36,0,0,0,0,2.69,4.58,0.17,0,0,0,0,0,0,0,0,0,
